title_fr,title_en,category,prompt_fr,prompt_en
"Hook viral pour Reel","Viral Reel hook","Content","Tu es un scénariste de vidéos courtes spécialisé dans le contenu IA et entrepreneuriat (FR). Sujet : {sujet}. Audience : {audience}. Génère 10 hooks (premières phrases, max 12 mots). Règles : crée un curiosity gap, ""tu"" jamais ""vous"", mélange observation marché / question directe / contrarian / anecdote / chiffre choc, pas de ""Dans cette vidéo"", pas d'emoji. Format : liste numérotée.","You are a short-form video scriptwriter specialized in AI and entrepreneurship. Topic: {topic}. Audience: {audience}. Generate 10 hooks (first lines, max 12 words). Rules: create a curiosity gap, direct ""you"", mix market observation / direct question / contrarian / anecdote / shock stat, no ""In this video"", no emoji. Format: numbered list."
"Script Reel 30 secondes","30-second Reel script","Content","Écris un script de Reel Instagram de 30s max. Sujet : {sujet}. Angle : {angle}. Voix : confiante, directe, ""tu"", FR parlée. Structure : HOOK 0-3s / SETUP 3-8s / CONTENU 8-25s / CLOSE 25-30s (jamais ""abonne-toi""). Inclure [INDICATIONS DE TOURNAGE]. Pas de jargon, parle d'expérience.","Write a 30-second Instagram Reel script. Topic: {topic}. Angle: {angle}. Voice: confident, direct, ""you"". Structure: HOOK 0-3s / SETUP 3-8s / CONTENT 8-25s / CLOSE 25-30s (never ""subscribe""). Include [SHOOTING NOTES]. No jargon, speak from experience."
"Caption Instagram qui crée la curiosité","Curiosity-driven Instagram caption","Content","Rédige une caption Instagram pour ce Reel. Sujet : {sujet}. Résultat : {résultat}. Règles : 1-2 phrases max, NE PAS résumer la vidéo, créer la curiosité ou ajouter un angle, ton ""tu"" confiant, max 1 emoji, 4-6 hashtags (#ai #automation #entrepreneur + 2-3 contextuels).","Write an Instagram caption for this Reel. Topic: {topic}. Result: {result}. Rules: 1-2 sentences max, DO NOT summarize the video, create curiosity or add an angle, confident ""you"" tone, max 1 emoji, 4-6 hashtags (#ai #automation #entrepreneur + 2-3 contextual)."
"Carousel LinkedIn 7 slides","7-slide LinkedIn carousel","Content","Crée un carousel LinkedIn 7 slides. Sujet : {sujet}. Audience : {audience}. Objectif : {objectif}. Slide 1 hook, 2 problème, 3-5 trois étapes (méthode 555 max 5 mots/ligne), 6 exemple chiffré, 7 CTA doux. Pour chaque slide : titre max 6 mots, 3-5 bullets, note designer.","Create a 7-slide LinkedIn carousel. Topic: {topic}. Audience: {audience}. Goal: {goal}. Slide 1 hook, 2 problem, 3-5 three steps (555 method max 5 words/line), 6 quantified example, 7 soft CTA. For each slide: title max 6 words, 3-5 bullets, designer note."
"Idées de contenu pour 7 jours","Content ideas for 7 days","Content","Génère 7 idées de contenu (1/jour) pour ma semaine Instagram. Créneau : {créneau}. Angle unique : {angle}. Mix : 2-3 démos d'outils IA, 1 perso/journey, 1 mindset/challenge, 1 stratégie business, 1 actu IA. Pour chaque idée : format, hook, angle 1 phrase, pourquoi ça marche.","Generate 7 content ideas (1/day) for my Instagram week. Niche: {niche}. Unique angle: {angle}. Mix: 2-3 AI tool demos, 1 personal/journey, 1 mindset/challenge, 1 business strategy, 1 AI news. For each: format, hook, 1-sentence angle, why it'll work."
"Réutilisation : Reel → Tweet thread","Repurpose: Reel to Twitter thread","Content","Voici le script d'un Reel : {script}. Transforme-le en thread X de 6-8 tweets. Tweet 1 = hook max 220 caractères qui marche seul. Suivants = 1 idée/tweet, espace entre phrases. Pas de hashtags sauf le dernier. Dernier = punchline jamais ""RT si vous êtes d'accord"". Termine avec 3 visuels possibles.","Here's a Reel script: {script}. Turn it into a 6-8 tweet X thread. Tweet 1 = hook max 220 chars, works standalone. Following = 1 idea/tweet, white space between sentences. No hashtags except last. Last = punchline never ""RT if you agree"". End with 3 visual ideas."
"Storytelling : projet client → post","Storytelling: client project to post","Content","Je veux raconter un projet client sans le nommer. Contexte : {contexte}. Problème : {problème}. Solution : {solution}. Résultat : {résultat}. Anonymise (jamais de nom, secteur générique), met en avant problème + solution + résultat, ton humble, métaphore forte. Format : hook vidéo + caption + 3 angles alternatifs.","Tell a client project story without naming them. Context: {context}. Problem: {problem}. Solution: {solution}. Result: {result}. Anonymize (no name, generic industry), highlight problem + solution + result, humble tone, strong metaphor. Format: video hook + caption + 3 alternative angles."
"Script YouTube long format","Long-form YouTube script","Content","Écris la structure d'une vidéo YouTube 8-12 min. Sujet : {sujet}. Promesse : {promesse}. Audience : {audience}. Structure : HOOK 0-15s / INTRO 15-45s / 3-5 SECTIONS (titre, takeaway, exemple, transition) / DEMO milieu / OUTRO résumé 3 points + CTA doux. Pour chaque section : durée, B-roll, transition.","Write the structure of an 8-12 min YouTube video. Topic: {topic}. Promise: {promise}. Audience: {audience}. Structure: HOOK 0-15s / INTRO 15-45s / 3-5 SECTIONS (title, takeaway, example, transition) / DEMO middle / OUTRO 3-point recap + soft CTA. For each section: duration, B-roll, transition."
"Reformulation : ton générique → perso","Rewrite: bland tone to personal voice","Content","Voici un texte trop générique : {texte}. Réécris-le : voix confiante directe ""tu"", phrases courtes, pas de superlatifs (""incroyable""), pas de tips parle d'expérience, terme technique = explication immédiate, métaphore concrète, termine par une observation calme. Garde le sens, change le style.","Here's a too-generic text: {text}. Rewrite: confident direct ""you"" voice, short sentences, no superlatives (""amazing""), no tips speak from experience, technical term = immediate explanation, concrete metaphor, end with calm observation. Keep meaning, change style."
"Brief créatif pour designer","Creative brief for a designer","Content","Génère un brief designer pour cette idée : {idée}. Format : {format}. Marque : {nom + couleurs}. Audience : {audience}. Brief : objectif 1 phrase, mood 3 mots-clés, élément central, hiérarchie visuelle, couleurs/contraste, texte à intégrer, à éviter, 3 références à chercher.","Generate a designer brief for this idea: {idea}. Format: {format}. Brand: {name + colors}. Audience: {audience}. Brief: 1-sentence goal, mood 3 keywords, central element, visual hierarchy, colors/contrast, text to integrate, to avoid, 3 references to look up."
